language_pair,split,source_lang,target_lang,source_text,target_text
Tagalog-Waray,train,Tagalog,Waray,Ambulansya,Amulansya
Tagalog-Waray,train,Tagalog,Waray,Ibon,Tamsi
Tagalog-Waray,train,Tagalog,Waray,Istasyon ng Pulisya,Istasyon Hab Pulis
Tagalog-Waray,train,Tagalog,Waray,Gawain sa bahay,Buruhaton Ha Panimalay
Tagalog-Waray,train,Tagalog,Waray,hipo,hápros
Tagalog-Waray,train,Tagalog,Waray,Tatlo,Tulo
Tagalog-Waray,train,Tagalog,Waray,magrereserba,maggahin
Tagalog-Waray,train,Tagalog,Waray,Iloilo,Iloilo
Tagalog-Waray,train,Tagalog,Waray,Walong daan,Otso Syentos
Tagalog-Waray,train,Tagalog,Waray,Lila,Purpura
Tagalog-Waray,train,Tagalog,Waray,Inihaw na bangus,Sinugba Ng Bangus
Tagalog-Waray,train,Tagalog,Waray,wala,waray
Tagalog-Waray,train,Tagalog,Waray,sigaw,guliat
Tagalog-Waray,train,Tagalog,Waray,R,R
Tagalog-Waray,train,Tagalog,Waray,lumabas,gunuwás
Tagalog-Waray,train,Tagalog,Waray,hapon,kulop
Tagalog-Waray,train,Tagalog,Waray,S,S
Tagalog-Waray,train,Tagalog,Waray,Soda,Inumon Panpatugnaw
Tagalog-Waray,train,Tagalog,Waray,Kung,Kon
Tagalog-Waray,train,Tagalog,Waray,Bakuran,Bungsaran
Tagalog-Waray,train,Tagalog,Waray,Paru-paro,Alibangbang
Tagalog-Waray,train,Tagalog,Waray,Sinturis,Sinturis
Tagalog-Waray,train,Tagalog,Waray,Kanya,Iya
Tagalog-Waray,train,Tagalog,Waray,kulot,kurong
Tagalog-Waray,train,Tagalog,Waray,Mabuti ako,Maupay Ako
Tagalog-Waray,train,Tagalog,Waray,Susi,Liyabe
Tagalog-Waray,train,Tagalog,Waray,Istasyon ng bumbero,Istasyon Han Bombero
Tagalog-Waray,train,Tagalog,Waray,Trillion,Trilyon
Tagalog-Waray,train,Tagalog,Waray,Anong ginagawa mo?,Ano An Im Ginbubuhat?
Tagalog-Waray,train,Tagalog,Waray,Itlog,Bunay
Tagalog-Waray,train,Tagalog,Waray,Silid-Tulugan,Sulod-Katurogan
Tagalog-Waray,train,Tagalog,Waray,Pagsusulit,Pagsurat Nga Eksaminasyon
Tagalog-Waray,train,Tagalog,Waray,Kuneho,Koneho
Tagalog-Waray,train,Tagalog,Waray,anak na babae,anák nga babaye
Tagalog-Waray,train,Tagalog,Waray,yakap,gakós
Tagalog-Waray,train,Tagalog,Waray,U,U
Tagalog-Waray,train,Tagalog,Waray,alas onse ng umaga,álas onse han ága
Tagalog-Waray,train,Tagalog,Waray,Sanggol,Minasus-Án/Puyá
Tagalog-Waray,train,Tagalog,Waray,Ninong,Amáy Ha Bunyág
Tagalog-Waray,train,Tagalog,Waray,Mantikilya,Mantikilya
Tagalog-Waray,train,Tagalog,Waray,Silid-Bakante,Libre Nga Kwarto
Tagalog-Waray,train,Tagalog,Waray,Dalawampu,Bente
Tagalog-Waray,train,Tagalog,Waray,V,V
Tagalog-Waray,train,Tagalog,Waray,Abril,Abril
Tagalog-Waray,train,Tagalog,Waray,Ilan,Pira
Tagalog-Waray,train,Tagalog,Waray,trabaho,trábaho
Tagalog-Waray,train,Tagalog,Waray,Dalawamput siyam,Bente Nuebe
Tagalog-Waray,train,Tagalog,Waray,Biyernes,Byernes
Tagalog-Waray,train,Tagalog,Waray,gusto,ruyág
Tagalog-Waray,train,Tagalog,Waray,Dilaw,Dulaw
Tagalog-Waray,train,Tagalog,Waray,Restawran,Restawran
Tagalog-Waray,train,Tagalog,Waray,makinis,pino
Tagalog-Waray,train,Tagalog,Waray,Dalawamput walo,Bente Otso
Tagalog-Waray,train,Tagalog,Waray,Lolo,Apóy Nga Lalake
Tagalog-Waray,train,Tagalog,Waray,Pito,Pito
Tagalog-Waray,train,Tagalog,Waray,Longganisa,Longanisa
Tagalog-Waray,train,Tagalog,Waray,talon,luksó
Tagalog-Waray,train,Tagalog,Waray,Pilosopiya,Pilosopiya
Tagalog-Waray,train,Tagalog,Waray,alas sais ng gabi,álas sais han kulop
Tagalog-Waray,train,Tagalog,Waray,Silid Pampamilya,Kanan Pamilya Kwarto
Tagalog-Waray,train,Tagalog,Waray,Tatlong taon,Tulo Katuig
Tagalog-Waray,train,Tagalog,Waray,Million,Milyon
Tagalog-Waray,train,Tagalog,Waray,Silid pang-ehersisyo,Himnasyo
Tagalog-Waray,train,Tagalog,Waray,kasintahan,konsolyó
Tagalog-Waray,train,Tagalog,Waray,Teatro,Teatro
Tagalog-Waray,train,Tagalog,Waray,Tatlong buwan,Tulo Kabulan
Tagalog-Waray,train,Tagalog,Waray,gabi,gab-i
Tagalog-Waray,train,Tagalog,Waray,Pagkahilo,Pagkálipngaw
Tagalog-Waray,train,Tagalog,Waray,anak na lalaki,anák nga lalake
Tagalog-Waray,train,Tagalog,Waray,matigas,matig-á
Tagalog-Waray,train,Tagalog,Waray,Agosto,Agosto
Tagalog-Waray,train,Tagalog,Waray,Kalesa,Karuwahe
Tagalog-Waray,train,Tagalog,Waray,Istasyon ng tren,Istasyon Han Tren
Tagalog-Waray,train,Tagalog,Waray,Aurora,Aurora
Tagalog-Waray,train,Tagalog,Waray,Puti,Busag
Tagalog-Waray,train,Tagalog,Waray,Nobyembre,Nobyembre
Tagalog-Waray,train,Tagalog,Waray,Sampu,Napulo
Tagalog-Waray,train,Tagalog,Waray,makapal,madakmol
Tagalog-Waray,train,Tagalog,Waray,Siper,Siper
Tagalog-Waray,train,Tagalog,Waray,nobyo,nobyó
Tagalog-Waray,train,Tagalog,Waray,o,o
Tagalog-Waray,train,Tagalog,Waray,Kondominyum,Kondominyum
Tagalog-Waray,train,Tagalog,Waray,Ampon,Pinarigonán
Tagalog-Waray,train,Tagalog,Waray,Sa akin,Ha Akon
Tagalog-Waray,train,Tagalog,Waray,aral,arám
Tagalog-Waray,train,Tagalog,Waray,alas dose ng tanghali,álas dose han ága
Tagalog-Waray,train,Tagalog,Waray,Bababa,Paubos
Tagalog-Waray,train,Tagalog,Waray,Mayo,Mayo
Tagalog-Waray,train,Tagalog,Waray,ligo,rigó
Tagalog-Waray,train,Tagalog,Waray,Tulay,Tulay
Tagalog-Waray,train,Tagalog,Waray,Paaralan,Eskuwelahan
Tagalog-Waray,train,Tagalog,Waray,Upa,Plete
Tagalog-Waray,train,Tagalog,Waray,Masaya akong makilala ka,Nalipay Ako Hin Pagkilala Ha Imo
Tagalog-Waray,train,Tagalog,Waray,asawang lalaki,asawa nga lalake
Tagalog-Waray,train,Tagalog,Waray,Ako ay mabuti,Maupay Ako
Tagalog-Waray,train,Tagalog,Waray,Silid,Sulod
Tagalog-Waray,train,Tagalog,Waray,espesiyal,kaiba
Tagalog-Waray,train,Tagalog,Waray,Kabag,Kábag
Tagalog-Waray,train,Tagalog,Waray,Dalawamput tatlo,Bente Tres
