source_text,target_text,language_pair,split,source_lang,target_lang,data_source
nakikigkomunikar hira ha usa kag usa gamit an mga api o mga protokol ha pagmensahe ngan mahimo ito ibutang ngan ig-update nga bulag ha usa kag usa.,nag-uugnay sila sa isa't isa gamit ang mga api o mga protocol sa pag-access at maaaring mai-install at i-update ng mga indibidwal na gumagamit.,war-tgl,train,war,tgl,alpaca
Paghunahuna hin uyag nga duha ka tawo an mag-uuyag.,Huwag matakot sa paglilingkod ng dalawang tao sa isang bagay.,war-tgl,train,war,tgl,alpaca
Ayaw pag-inabre hin mga waray kasiguruhan nga link ha email kay bangin ma-hack an imo personal nga account.,Huwag kang magbubukas ng mga walang kasiguraduhang link sa email dahil baka ma-hack ang iyong personal na account.,,train,war,tgl,conversational
"Mga nakaputos ngan frozen nga pagkaon lakip na an meryenda, cereal, ngan mga gin-andam nga pagkaon
4","Mga nakabalot at frozen na pagkain kabilang ang mga snacks, cereal, at mga food preparation 4",war-tgl,train,war,tgl,alpaca
a. Luwag nga pagdugtong .,a. Luwag nga pagdugtong .,war-tgl,train,war,tgl,alpaca
ginpa-ayad niya an iya sapatos ha kanto kay guba na an ilarom hini tungod han sige hin binalik-balik ha trabaho adlaw-adlaw.,ipinaayos niya ang kanyang sapatos sa kanto dahil sira na ang ilalim nito dahil sa pabalik-balik sa trabaho araw-araw.,,train,war,tgl,conversational
Pira an sukli ko?,Magkano ang sukli ko?,,train,war,tgl,conversational
pagngaran hin tulo nga artista nga mayda mga daog ha academy award.,tatlong artista ang nagngangalang may mga nominasyon para sa academy award.,war-tgl,train,war,tgl,alpaca
Ano nga problema an imo ginbibiling nga masolbar hini nga produkto/serbisyo?,Anong problema ang nais mong malulutas ng produktong ito/serbisyo?,war-tgl,train,war,tgl,alpaca
Ano an kaibahan han ginbabantayan ngan diri ginbabantayan nga pag-aram?,Ano ang pagkakaiba ng pag-aalay at hindi pag-aalay ng pag-aram?,war-tgl,train,war,tgl,alpaca
waray pa kami makakabati hin opisyal nga pahibaro tikang ha gobyerno mahiunong han bag-o nga patakaran ha buwis.,wala pa kaming naririnig na opisyal na pahayag mula sa gobyerno tungkol sa bagong patakaran sa buwis.,,train,war,tgl,conversational
"Tungod han pipira nga impormasyon, paghatag hin usa nga posible nga solusyon.","Dahil sa ilang impormasyon, magbigay ng isang posibleng solusyon.",war-tgl,train,war,tgl,alpaca
"Dugang pa, tama la an pagkaangay - diri sobra kahugot, pero diri liwat sobra ka maluwag.","Bukod dito, tama la an pagkaangay - hindi sobra kahugot, pero hindi liwat sobra ka maluwag.",war-tgl,train,war,tgl,alpaca
"Gintagan hin tudling ngan lista han mga pulong, liwani an bisan ano nga pag-abot han mga pulong ha tudling han mga iginhatag nga sinonimo","Ang mga salitang ito ay hindi ipinapangalan at hindi pinagsasali, at ang anumang mga salitang may kinalaman sa mga salitang ito ay ipinapangalan ng mga sinonimong ibinigay",war-tgl,train,war,tgl,alpaca
Nag-anak hi Zila kan Tubal-cain nga maghirimo hin magkalainlain nga mga garamiton tikang hin bronse ug puthaw. Hi Naama amo an babaye nga bugto ni Tubal-cain.,"Ipinanganak ni Zilla si Tubal-Cain, ang panday ng lahat na kagamitang patalim na tanso at bakal. At ang kapatid na babae ni Tubal-Cain ay si Naama.",,train,war,tgl,conversational
Ibalik an `resulta` nga variable komo pinakahilaba nga komon nga substring.,Ang pagbalik ng isang `resulta` ay variable na may pinaka-mahigit na karaniwang substring.,war-tgl,train,war,tgl,alpaca
nakita ko an iya kalipay han iginhatag ha iya an susi han iya bag-o nga ginpalit nga awto.,nakita ko ang kanyang tuwa nang ibigay sa kanya ang susi ng kanyang bagong biling awto.,,train,war,tgl,conversational
nagsaka - aksyon,nagsaka - aksyon,war-tgl,train,war,tgl,alpaca
"Sugad nga kabulig han AI, waray ako personal nga mga eksperyensya o pangilal-an ha rasa; salit, diri ako makakahatag ha iyo hin personal nga asoy mahitungod han kawaray-hustisya ha rasa.","Bilang isang katulong ng AI, wala akong personal na karanasan o kaalaman sa pagkawala; kaya, hindi ko sila maaaring bigyan ng personal na impormasyon tungkol sa kawalan ng katarungan sa pagkawala.",war-tgl,train,war,tgl,alpaca
"Ha pamiling hin adbentura, nga waray maitatanding .","Hailing pamiling hin adbentura, na walang maitatanding .",war-tgl,train,war,tgl,alpaca
Diri ako sigurado kon makaatendir ako han aton miting buwas han aga,Hindi ako sigurado kung makakadalo ako sa ating pulong bukas ng umaga,,train,war,tgl,conversational
"Dinaop hi Anabel ha puno, ngan samtang ginbubuhat niya ito, inabat niya an kamurayawan ngan kalipay nga nag-aawas ha iya.","Dinaop ay inaabel sa kanyang pinuno, at habang ginagawa ito, siya ay nakakaranas ng kapayapaan at kagalakan na nag-aari sa kanya.",war-tgl,train,war,tgl,alpaca
gintutdoan ako han akon amay kon paunan-o an husto nga pagtanom hin mga utanon ha luyo han amon balay,tinuruan ako ng aking ama kung paano ang wastong pagtatanim ng mga gulay sa likod ng aming bahay,,train,war,tgl,conversational
Dako An Akon Nagastos Yana Kay Damo An Ginpalit Ko Nga Kinahanglanon Ha Balay.,Malaki Ang Nagastos Ko Ngayon Dahil Marami Akong Biniling Kinakailangan Sa Bahay.,,train,war,tgl,conversational
Maruruyag hiya mamati hin musika,Maruruyag hiya mamati hin musika,war-tgl,train,war,tgl,alpaca
Nagtikang hiya pangampanya ngan pagpahibaro mahitungod han mga isyu nga nagsasamok ha kalibotan.,Nagsimula siyang mangaral at mag-aral tungkol sa mga isyu sa daigdig.,war-tgl,train,war,tgl,alpaca
May-ada ba espisipiko hini nga karuyag mo paliton,May mga espisipiko ba ito na gusto mo sa paliton,war-tgl,train,war,tgl,alpaca
Pira na an imo edad tikang han urhi naton nga pagkita,Ilang taon ka na ba simula noong huli tayong nagkita,war-tgl,train,war,tgl,alpaca
Iginpakita ni Elon Musk an iya pinakabag-o nga de-koryente nga awto,Ipinakita ni Elon Musk ang kanyang pinaka-malakas na de-koryente na kotse,war-tgl,train,war,tgl,alpaca
Nabaruan ko nga damo nga klase hin isda an namamatay tungod han mga hugaw nga ginlalabay ha dagat.,Nalaman ko na maraming klase ng isda ang namamatay dahil sa mga duming itinatapon sa dagat.,,train,war,tgl,conversational
"An mga torre nga nasuporta ha mga kable nahitaas hin 746 ka piye ha igbaw han tubig, salit an tulay usa nga makaruruyag ngan makangingirhat nga kiritaon.","Ang mga tore na sumusuporta sa mga cable ay nasa 746 feet sa itaas ng tubig, na ang dahilan kung bakit ang tulay ay isa sa pinakamalaki at pinakamatinding tulay sa buong mundo.",war-tgl,train,war,tgl,alpaca
