source_text,target_text,language_pair,split,source_lang,target_lang,data_source
"Kung ang mga sirak ay hindi nasirang sa dahon, ito ay nasusupop ng mga chloroplast.","Kon an sirak han adlaw nasirang ha dahon, nasusupsop ito han mga kloroplast.",war-tgl,train,tgl,war,alpaca
Niyakap niya nang mahigpit ang kanyang anak nang gumaling ito mula sa ospital.,Ginhangkop niya hin makusog an iya anak han maulian ini tikang ha ospital.,,train,tgl,war,conversational
Ang mga ibon at mga mammal na mga uod <- Buwang 3.,"An mga tamsi ngan mga kuliglig mamingaw <- Buwa
3.",war-tgl,train,tgl,war,alpaca
"Kaya, magsimula tayo sa pag-unawa kung ano ang mga gene","Salit, magtikang kita pinaagi han pagsabot kon ano an mga gene",war-tgl,train,tgl,war,alpaca
"Mga mahal na John, Jenny, at Chris, Nais naming mag-post ng isang email na walang pag-aalala.","Mga hinigugma nga John, Jenny, ngan Chris,

Hinaot unta nga mabilngan ka hini nga email hin maupay.",war-tgl,train,tgl,war,alpaca
"Kaya, alam natin na natapos sa D antes sa B, bilang CABD.","Tapos, maaram kita nga natapos hi D antes hi B, sanglit CABD.",war-tgl,train,tgl,war,alpaca
ang mga batas ng suplay at pangangailangan ay ang mga pangunahing prinsipyo na namamahala sa dinamika ng mga ekonomiya ng merkado.,an mga balaud han suplay ngan panginahanglan amo an mga batakan nga prinsipyo nga nagdudumara han dinamika han mga ekonomiya ha merkado.,war-tgl,train,tgl,war,alpaca
"Makakatulong ito sa iyo na maka-guide sa proseso ng pagbili, na tiyakin na ang iyong maskot ay naka-iimbento sa imahe ng iyong ama at nakikipag-usap sa iyong mga alok sa merkado.","Makakabulig ini paggiya han proseso han paglarang, pagsiguro nga an imo maskot in nakalinya ha imahe han imo tatak ngan nagyayakan ha imo gintutumuyo nga merkado.",war-tgl,train,tgl,war,alpaca
Masakit talaga ang aking tiyan kaya hindi ako makakasama sa inyong lakad ngayon.,Masakit gud an akon tiyan sanglit diri ako makakaupod ha inyo lakaw yana.,,train,tgl,war,conversational
ika-18 nga siglo inglatera - adlaw .,ika-18 nga siglo inglatera - adlaw .,war-tgl,train,tgl,war,alpaca
nakalimutan ko na kung saan ko inilagay ang aking pitaka kaya napasabi ako ngayon na wala akong pera,limot ko na kun hain ko guin-butang iton akon pitaka sanglit napa-pramis ako yana nga waray ako kwarta,,train,tgl,war,conversational
Ang pag-aatake ay nagdulot din ng mas malaking pagsusumikap sa pambansang seguridad at sa proteksyon ng mga lider na pampulitika.,An pag-asasinar nagdara liwat hin dugang nga pagtutok ha nasodnon nga seguridad ngan pagpanalipod ha mga lider ha politika.,war-tgl,train,tgl,war,alpaca
Ano ang mga pangunahing sanhi ng Digmaang Sibil ng Amerika noong 1861-1865,Ano an mga panguna nga hinungdan han Gera Sibil han Amerika han 1861-1865,war-tgl,train,tgl,war,alpaca
Hindi niya nararamdaman na cake,Nakaon hiya hin marasa nga keyk,war-tgl,train,tgl,war,alpaca
