source_text,target_text,language_pair,split,source_lang,target_lang
Saan ang gripo rito?,Hain an tuburan didhi?,war-tgl,train,tgl,war
Tapos na akong kumain.,Tapos na ako kumaon.,war-tgl,train,tgl,war
Binigyan ako ng magandang damit ng aking lola para isoot ko mamaya sa simbang gabi.,Gintagan ako hin mahusay nga bado han akon lola basi ko isul-ot maya-maya ha simbang gabi.,war-tgl,train,tgl,war
Patuloy naming pinag-aaralan ang mga bagong makinarya na makakatulong sa pagpapabilis ng aming produksyon.,Padayon namon nga gin-aadman an mga bag-o nga makinarya nga makakabulig ha pagpadagmit han amon produksyon.,war-tgl,train,tgl,war
Mas hinihikayat ang mga tao na magtanim ng gulay upang makatipid sa pagkain at maging mas malusog ang katawan.,Mas gin-aaghat an mga tawo nga magtanom hin utanon basi makatipig ha pagkaon ngan magin mas himsog an lawas.,war-tgl,train,tgl,war
Nagbabasa siya ng mga lumang komiks araw-araw upang malaman niya ang mga kwento.,Nagbabasa hiya hin mga daan nga komiks adlaw-adlaw basi mabaruan niya an mga istorya.,war-tgl,train,tgl,war
Hindi ko mapigilang tumawa kapag nakikita ko ang kanilang mga ginagawa sa internet na nag-viral ngayong araw.,Diri ko mapugngan nga matawa kon nakikita ko an ira mga binuhatan ha internet nga nag-viral yana nga adlaw.,war-tgl,train,tgl,war
Hiniling niya sa akin na panatilihing sekreto ang kanyang mga problema sa pag-ibig na ipinagtapat niya sa akin.,Ginhangyo niya ako nga pabilinon nga sekreto an iya mga problema ha gugma nga iginsumat niya ha akon.,war-tgl,train,tgl,war
"Nakikita ko na palagi siyang tahimik kapag nakikisama sa atin, baka nahihiya siyang sabihin ang kanyang nararamdaman.","Nakikita ko nga pirme hiya mamingaw kon nakikig-upod ha aton, bangin nag-aawod hiya magyakan han iya inaabat.",war-tgl,train,tgl,war
Nakita ko na puno ng alikabok ang ibabaw ng kabinet kaya pinunasan ko ito.,Nakita ko nga punpon hin abog an bawbaw han kabinet sanglit ginpunasan ko ini.,war-tgl,train,tgl,war
Sinigurado niyang walang natirang dumi sa sahig matapos niya itong walisan.,Ginpanigurado niya nga waray nabilin nga hugaw ha salog kahuman niya silhigon.,war-tgl,train,tgl,war
Nakatanggap ako ng magagandang komento dahil sa niluto kong ulam kagabi.,Nakakarawat ako hin mag-opay nga komento tungod han akon ginluto nga sud-an kagab-i.,war-tgl,train,tgl,war
Hinikayat niya ang kanyang kaibigan na huwag mawalan ng pag-asa kahit mahirap ang buhay.,Gindasig niya an iya sangkay nga diri mawad-an hin pag-laom bisan makuri an kinabuhi.,war-tgl,train,tgl,war
Ang tatay ko ay mangingisda.,An akon tatay mangingisda.,war-tgl,train,tgl,war
Biglang nagkaroon ng matinding trapiko sa tulay kaya nahuli ako sa aking pulong noong umaga.,Tigda nga nagkaada hin dako nga trapiko ha tulay sanglit na-late ako ha akon miting han aga.,war-tgl,train,tgl,war
Kailangan nating maging maingat sa paglakad diyan sa madulas na tulay ngayon.,Kinahanglan naton magin maingat ha paglakat dida ha madalunot nga tulay yana.,war-tgl,train,tgl,war
Nakita mo ba ang aking tsinelas dahil hindi ko makita sa ilalim ng kama?,Nakita mo ba an akon tsinelas kay diri ko makit-an ha sirong han higdaan?,war-tgl,train,tgl,war
Anong oras ka uuwi ngayong hapon upang mahintay kita?,Anong oras ka mauli yana nga kulop basi mahulat ko ikaw?,war-tgl,train,tgl,war
Huwag kalimutang patayin ang ilaw sa sala upang makatipid tayo sa kuryente.,Ayaw kalimot pagparong han suga ha sala basi makatipig kita ha kuryente.,war-tgl,train,tgl,war
Naintindihan mo ba?,Nakasabot ka ba?,war-tgl,train,tgl,war
Nakatanggap siya ng parangal bilang pinakamahusay na empleyado ngayong buwan dahil sa kanyang kasipagan.,Nakakarawat hiya hin pasidungog komo pinakamaupay nga empleyado hini nga bulan tungod han iya kamaduruto.,war-tgl,train,tgl,war
Minsan nakakalimutan ko kung saan ko inilagay ang aking mga gamit dahil sa sobrang pagod.,Panagsa nakakalimot ako kon hain ko iginbutang an akon mga gamit tungod han sobra nga kakapoy.,war-tgl,train,tgl,war
Hindi talaga siya napapagod maglakad sa bundok para lang makakuha ng mga preskong prutas.,Diri gud hiya napapoy pagbaktas ha bukid basi la makakuha hin mga presko nga prutas.,war-tgl,train,tgl,war
Isara mo iyang pinto.,Isira iton pultahan.,war-tgl,train,tgl,war
Pupunta ako sa palengke upang maghanap ng preskong isda na ibebenta ng mga mangingisda.,Makadto ako ha merkado basi mamiling hin presko nga isda nga ibaligya han mga mangingisda.,war-tgl,train,tgl,war
Aalis tayo bukas ng madaling-araw para iwas trapiko sa kalsada.,Malakat kita buwas han maagahon basi likay ha trapiko ha kalsada.,war-tgl,train,tgl,war
Kumain na tayo dahil luto na ang pan de sal at itlog.,Mangaon na kita kay luto na an pan de sal ngan itlog.,war-tgl,train,tgl,war
Hindi pa ako handang umupo riyan sa upuan na iyan dahil tila mayroon pa ring dumi o tulo ng ulan.,Diri pa ako handa lumingkod dida hito nga bangko kay baga hin mayda pa gihapon dumi o turo hiton ulan.,war-tgl,train,tgl,war
